food,carbon,water,energy,waste,deforestation,impact,description
Amaranth,0.8,1312,0.8,0.04,0.3,Low,Ancient grain
Barley,1.2,1534,1.0,0.06,0.5,Low,Cereal grain
Brown Rice,2.9,2700,1.7,0.12,0.9,Medium,Whole grain
Buckwheat,0.9,1367,0.85,0.05,0.3,Low,Pseudo-cereal
Bulgur,1.0,1423,0.9,0.05,0.4,Low,Cracked wheat
Cereal,1.3,1589,1.1,0.07,0.6,Medium,Processed grain
Couscous,1.1,1478,0.95,0.06,0.4,Low,Wheat product
Farro,1.1,1478,0.95,0.06,0.4,Low,Ancient grain
Kamut,1.0,1423,0.9,0.05,0.4,Low,Ancient wheat
Millet,1.0,1423,0.9,0.05,0.4,Low,Ancient grain
Oats,1.1,1478,0.95,0.06,0.4,Low,Cereal grain
Pasta,1.2,1534,1.0,0.06,0.5,Low,Wheat product
Quinoa,0.9,1250,0.8,0.05,0.3,Low,Ancient grain
Rice,2.7,2500,1.5,0.1,0.8,Medium,White rice
Rye,1.0,1423,0.9,0.05,0.4,Low,Cereal grain
Sorghum,1.2,1534,1.0,0.06,0.5,Low,Cereal grain
Spelt,1.1,1478,0.95,0.06,0.4,Low,Ancient wheat
Teff,0.9,1367,0.85,0.05,0.3,Low,Ancient grain
Wheat Bread,0.9,1300,0.7,0.08,0.4,Low,Whole grain bread
Wild Rice,2.5,2300,1.4,0.09,0.7,Medium,Aquatic grain
Beef,27.0,15400,40.0,2.5,9.0,High,Grass-fed beef
Bison,20.5,12000,35.0,2.0,7.0,High,Grass-fed game meat
Chicken,6.9,4325,15.0,0.8,2.0,Medium,Free-range poultry
Duck,8.1,4800,18.0,1.0,2.3,High,Waterfowl meat
Goat,13.2,5500,22.0,1.3,3.2,Medium,Farm-raised meat
Lamb,39.2,10412,50.0,2.0,7.0,High,Grass-fed lamb
Pork,12.1,5988,20.0,1.2,3.0,High,Farm-raised pork
Rabbit,4.8,3800,12.0,0.6,1.5,Medium,Farm-raised game
Turkey,7.2,4400,16.0,0.9,2.1,Medium,Poultry meat
Venison,15.3,6200,25.0,1.4,3.5,High,Wild game meat
Almonds,1.6,1756,1.4,0.1,0.9,Medium,Tree nuts
Brazil Nuts,1.8,1867,1.6,0.12,1.1,Medium,Tree nuts
Cashews,1.4,1645,1.2,0.08,0.7,Medium,Tree nuts
Chestnuts,1.3,1589,1.1,0.07,0.6,Medium,Tree nuts
Chia Seeds,1.0,1423,0.9,0.05,0.4,Low,Plant seeds
Fennel Seeds,1.1,1478,0.95,0.06,0.4,Low,Aromatic seeds
Flax Seeds,1.1,1478,0.95,0.06,0.4,Low,Plant seeds
Hazelnuts,1.5,1700,1.3,0.09,0.8,Medium,Tree nuts
Hemp Seeds,1.2,1534,1.0,0.06,0.5,Low,Plant seeds
Macadamia Nuts,1.7,1812,1.5,0.11,1.0,Medium,Tree nuts
Peanuts,1.3,1589,1.1,0.07,0.6,Medium,Legume nuts
Pecans,1.4,1645,1.2,0.08,0.7,Medium,Tree nuts
Pine Nuts,1.5,1700,1.3,0.09,0.8,Medium,Tree nuts
Pistachios,1.6,1756,1.4,0.1,0.9,Medium,Tree nuts
Poppy Seeds,1.1,1478,0.95,0.06,0.4,Low,Plant seeds
Pumpkin Seeds,1.2,1534,1.0,0.06,0.5,Low,Plant seeds
Sesame Seeds,1.4,1645,1.2,0.08,0.7,Medium,Plant seeds
Sunflower Seeds,1.3,1589,1.1,0.07,0.6,Medium,Plant seeds
Walnuts,1.5,1700,1.3,0.09,0.8,Medium,Tree nuts
Cod,3.2,2800,15.0,0.3,0.1,Low,White fish
Crab,8.2,3200,18.0,0.4,0.2,Medium,Shellfish
Lobster,9.1,3400,20.0,0.5,0.2,Medium,Shellfish
Salmon,11.9,4000,25.0,0.7,0.5,Medium,Farm-raised salmon
Sardines,2.8,2400,13.0,0.2,0.1,Low,Small fish
Shrimp,12.0,3515,22.0,0.5,0.3,High,Farm-raised shrimp
Tilapia,2.9,2500,14.0,0.3,0.1,Low,Farmed fish
Trout,3.5,3000,16.0,0.4,0.2,Medium,Freshwater fish
Tuna,6.1,3000,20.0,0.4,0.1,Medium,Wild-caught tuna
Adzuki Beans,0.7,1100,0.7,0.03,0.2,Low,Red beans
Black Beans,0.7,1100,0.7,0.03,0.3,Low,Dried black beans
Black-Eyed Peas,0.7,1100,0.7,0.03,0.2,Low,Cowpeas
Cannellini Beans,0.7,1100,0.7,0.03,0.2,Low,White kidney beans
Chickpeas,0.8,1200,0.75,0.04,0.2,Low,Dried chickpeas
Edamame,0.9,1200,0.8,0.04,2.8,Medium,Young soybeans
Fava Beans,0.8,1150,0.75,0.04,0.25,Low,Broad beans
Kidney Beans,0.8,1150,0.75,0.04,0.25,Low,Red beans
Lentils,0.9,1250,0.8,0.04,0.2,Low,Dried lentils
Lima Beans,0.8,1150,0.75,0.04,0.25,Low,Butter beans
Mung Beans,0.7,1100,0.7,0.03,0.2,Low,Green beans
Navy Beans,0.7,1100,0.7,0.03,0.2,Low,White beans
Pinto Beans,0.7,1100,0.7,0.03,0.2,Low,Spotted beans
Red Lentils,0.9,1250,0.8,0.04,0.2,Low,Split lentils
Split Peas,0.8,1150,0.75,0.04,0.25,Low,Dried peas
Yellow Split Peas,0.8,1150,0.75,0.04,0.25,Low,Dried peas
Beyond Meat,3.5,400,4.0,0.2,0.5,Medium,Plant-based meat alternative
Eggs,4.8,3300,6.0,0.3,0.4,Medium,Free-range eggs
Impossible Burger,3.8,450,4.2,0.2,0.6,Medium,Plant-based burger
Quorn,2.0,320,2.1,0.11,0.3,Medium,Mycoprotein
Seitan,1.8,280,1.8,0.09,0.4,Low,Wheat protein
Tempeh,2.2,350,2.2,0.12,2.7,Medium,Fermented soy
Tofu,2.0,300,2.0,0.1,2.5,Medium,Soy-based protein
Artichoke,0.4,289,0.24,0.02,0.1,Low,Thistle vegetable
Asparagus,0.5,378,0.3,0.02,0.1,Low,Green vegetable
Beets,0.3,237,0.2,0.02,0.1,Low,Root vegetable
Bell Peppers,0.4,289,0.24,0.02,0.1,Low,Nightshade vegetable
Broccoli,0.4,322,0.25,0.02,0.1,Low,Cruciferous vegetable
Brussels Sprouts,0.3,237,0.2,0.02,0.1,Low,Cruciferous vegetable
Cabbage,0.2,181,0.15,0.02,0.1,Low,Cruciferous vegetable
Carrot,0.2,35,0.18,0.02,0.1,Low,Root vegetable
Cauliflower,0.4,285,0.23,0.02,0.1,Low,Cruciferous vegetable
Celery,0.2,168,0.14,0.02,0.1,Low,Fresh vegetable
Corn,1.1,1220,0.9,0.07,0.6,Low,Sweet corn
Cucumber,0.2,153,0.13,0.02,0.1,Low,Fresh vegetable
Eggplant,0.3,234,0.19,0.02,0.1,Low,Nightshade vegetable
Garlic,0.4,289,0.24,0.02,0.1,Low,Allium vegetable
Ginger,0.3,234,0.2,0.02,0.1,Low,Root spice
Green Beans,0.3,195,0.22,0.02,0.1,Low,Fresh vegetable
Kale,0.3,237,0.2,0.02,0.1,Low,Leafy green vegetable
Lettuce,0.2,168,0.14,0.02,0.1,Low,Leafy green vegetable
Mushrooms,0.3,237,0.2,0.02,0.1,Low,Fungi
Onions,0.3,237,0.2,0.02,0.1,Low,Allium vegetable
Parsnips,0.3,237,0.2,0.02,0.1,Low,Root vegetable
Peas,0.4,289,0.24,0.02,0.1,Low,Legume
Potato,0.4,287,0.3,0.03,0.2,Low,Root vegetable
Pumpkin,0.3,237,0.2,0.02,0.1,Low,Winter squash
Radishes,0.2,168,0.14,0.02,0.1,Low,Root vegetable
Rutabaga,0.3,237,0.2,0.02,0.1,Low,Root vegetable
Spinach,0.3,30,0.2,0.01,0.1,Low,Leafy green vegetable
Squash,0.3,237,0.2,0.02,0.1,Low,Gourd vegetable
Sweet Potato,0.3,383,0.28,0.03,0.2,Low,Root vegetable
Tomato,0.2,40,0.15,0.02,0.1,Low,Fresh vegetable
Turnips,0.2,168,0.14,0.02,0.1,Low,Root vegetable
Zucchini,0.3,237,0.2,0.02,0.1,Low,Summer squash
